Vulnerable_population,Section,Long_title,Short_title,Group,Group1,Subgroup,Mental Illness,Value
Serious Mental Illness,B. VHA Outpatient Utilization,"B1. Distribution of SMI among FY13 Veteran VHA Patients by VHA Outpatient Visits, FY13",SMI by VHA Outpatient Visits,Encounters,Outpatient Visits,2 encounters,Mood.Anxiety,27241
Serious Mental Illness,B. VHA Outpatient Utilization,"B1. Distribution of SMI among FY13 Veteran VHA Patients by VHA Outpatient Visits, FY13",SMI by VHA Outpatient Visits,Encounters,Outpatient Visits,3-5 encounters,Mood.Anxiety,104344
Serious Mental Illness,B. VHA Outpatient Utilization,"B1. Distribution of SMI among FY13 Veteran VHA Patients by VHA Outpatient Visits, FY13",SMI by VHA Outpatient Visits,Encounters,Outpatient Visits,6-11 encounters,Mood.Anxiety,217342
Serious Mental Illness,B. VHA Outpatient Utilization,"B1. Distribution of SMI among FY13 Veteran VHA Patients by VHA Outpatient Visits, FY13",SMI by VHA Outpatient Visits,Encounters,Outpatient Visits,12+ encounters,Mood.Anxiety,785806
Serious Mental Illness,B. VHA Outpatient Utilization,"B2. Distribution of SMI among FY13 Veteran VHA Patients by Primary Care Visits, FY13",SMI by Primary Care Visits,Encounters,Primary Care Visits,0 encounters,Mood.Anxiety,65758
Serious Mental Illness,B. VHA Outpatient Utilization,"B2. Distribution of SMI among FY13 Veteran VHA Patients by Primary Care Visits, FY13",SMI by Primary Care Visits,Encounters,Primary Care Visits,1 encounter,Mood.Anxiety,244735
Serious Mental Illness,B. VHA Outpatient Utilization,"B2. Distribution of SMI among FY13 Veteran VHA Patients by Primary Care Visits, FY13",SMI by Primary Care Visits,Encounters,Primary Care Visits,2 encounters,Mood.Anxiety,251137
Serious Mental Illness,B. VHA Outpatient Utilization,"B2. Distribution of SMI among FY13 Veteran VHA Patients by Primary Care Visits, FY13",SMI by Primary Care Visits,Encounters,Primary Care Visits,3-5 encounters,Mood.Anxiety,399214
Serious Mental Illness,B. VHA Outpatient Utilization,"B2. Distribution of SMI among FY13 Veteran VHA Patients by Primary Care Visits, FY13",SMI by Primary Care Visits,Encounters,Primary Care Visits,6-11 encounters,Mood.Anxiety,148416
Serious Mental Illness,B. VHA Outpatient Utilization,"B2. Distribution of SMI among FY13 Veteran VHA Patients by Primary Care Visits, FY13",SMI by Primary Care Visits,Encounters,Primary Care Visits,12+ encounters,Mood.Anxiety,40281
Serious Mental Illness,B. VHA Outpatient Utilization,"B3. Distribution of SMI among FY13 Veteran VHA Patients by Mental Health/Substance Use Disorder Visits, FY13",SMI by Mental Health/Substance Use Disorder Visits,Encounters,Mental Health/Substance use Disorder Visits,0 encounters,Mood.Anxiety,346009
Serious Mental Illness,B. VHA Outpatient Utilization,"B3. Distribution of SMI among FY13 Veteran VHA Patients by Mental Health/Substance Use Disorder Visits, FY13",SMI by Mental Health/Substance Use Disorder Visits,Encounters,Mental Health/Substance use Disorder Visits,1 encounter,Mood.Anxiety,133985
Serious Mental Illness,B. VHA Outpatient Utilization,"B3. Distribution of SMI among FY13 Veteran VHA Patients by Mental Health/Substance Use Disorder Visits, FY13",SMI by Mental Health/Substance Use Disorder Visits,Encounters,Mental Health/Substance use Disorder Visits,2 encounters,Mood.Anxiety,126283
Serious Mental Illness,B. VHA Outpatient Utilization,"B3. Distribution of SMI among FY13 Veteran VHA Patients by Mental Health/Substance Use Disorder Visits, FY13",SMI by Mental Health/Substance Use Disorder Visits,Encounters,Mental Health/Substance use Disorder Visits,3-5 encounters,Mood.Anxiety,240437
Serious Mental Illness,B. VHA Outpatient Utilization,"B3. Distribution of SMI among FY13 Veteran VHA Patients by Mental Health/Substance Use Disorder Visits, FY13",SMI by Mental Health/Substance Use Disorder Visits,Encounters,Mental Health/Substance use Disorder Visits,6-11 encounters,Mood.Anxiety,154811
Serious Mental Illness,B. VHA Outpatient Utilization,"B3. Distribution of SMI among FY13 Veteran VHA Patients by Mental Health/Substance Use Disorder Visits, FY13",SMI by Mental Health/Substance Use Disorder Visits,Encounters,Mental Health/Substance use Disorder Visits,12+ encounters,Mood.Anxiety,148016
Serious Mental Illness,B. VHA Outpatient Utilization,"B4. Distribution of SMI among FY13 Veteran VHA Patients by Emergency Department Visits, FY13",SMI by Emergency Department Visits,Encounters,Emergency Department Visits,0 encounters,Mood.Anxiety,837100
Serious Mental Illness,B. VHA Outpatient Utilization,"B4. Distribution of SMI among FY13 Veteran VHA Patients by Emergency Department Visits, FY13",SMI by Emergency Department Visits,Encounters,Emergency Department Visits,1 encounter,Mood.Anxiety,158814
Serious Mental Illness,B. VHA Outpatient Utilization,"B4. Distribution of SMI among FY13 Veteran VHA Patients by Emergency Department Visits, FY13",SMI by Emergency Department Visits,Encounters,Emergency Department Visits,2 encounters,Mood.Anxiety,70477
Serious Mental Illness,B. VHA Outpatient Utilization,"B4. Distribution of SMI among FY13 Veteran VHA Patients by Emergency Department Visits, FY13",SMI by Emergency Department Visits,Encounters,Emergency Department Visits,3-5 encounters,Mood.Anxiety,64117
Serious Mental Illness,B. VHA Outpatient Utilization,"B4. Distribution of SMI among FY13 Veteran VHA Patients by Emergency Department Visits, FY13",SMI by Emergency Department Visits,Encounters,Emergency Department Visits,6-11 encounters,Mood.Anxiety,16505
Serious Mental Illness,B. VHA Outpatient Utilization,"B4. Distribution of SMI among FY13 Veteran VHA Patients by Emergency Department Visits, FY13",SMI by Emergency Department Visits,Encounters,Emergency Department Visits,12+ encounters,Mood.Anxiety,2528
Serious Mental Illness,B. VHA Outpatient Utilization,"B5. Distribution of SMI among FY13 Veteran VHA Patients by Telephone Visits, FY13",SMI by Telephone Visits,Encounters,Telephone Visits,0 encounters,Mood.Anxiety,304365
Serious Mental Illness,B. VHA Outpatient Utilization,"B5. Distribution of SMI among FY13 Veteran VHA Patients by Telephone Visits, FY13",SMI by Telephone Visits,Encounters,Telephone Visits,1 encounter,Mood.Anxiety,206948
Serious Mental Illness,B. VHA Outpatient Utilization,"B5. Distribution of SMI among FY13 Veteran VHA Patients by Telephone Visits, FY13",SMI by Telephone Visits,Encounters,Telephone Visits,2 encounters,Mood.Anxiety,145775
Serious Mental Illness,B. VHA Outpatient Utilization,"B5. Distribution of SMI among FY13 Veteran VHA Patients by Telephone Visits, FY13",SMI by Telephone Visits,Encounters,Telephone Visits,3-5 encounters,Mood.Anxiety,238258
Serious Mental Illness,B. VHA Outpatient Utilization,"B5. Distribution of SMI among FY13 Veteran VHA Patients by Telephone Visits, FY13",SMI by Telephone Visits,Encounters,Telephone Visits,6-11 encounters,Mood.Anxiety,159837
Serious Mental Illness,B. VHA Outpatient Utilization,"B5. Distribution of SMI among FY13 Veteran VHA Patients by Telephone Visits, FY13",SMI by Telephone Visits,Encounters,Telephone Visits,12+ encounters,Mood.Anxiety,94358
Serious Mental Illness,B. VHA Outpatient Utilization,"B6. Distribution of SMI among FY13 Veteran VHA Patients by Fee Outpatient Visits, FY13",SMI by Fee Outpatient Services,Encounters,Fee Outpatient Services,0 encounters,Mood.Anxiety,863466
Serious Mental Illness,B. VHA Outpatient Utilization,"B6. Distribution of SMI among FY13 Veteran VHA Patients by Fee Outpatient Visits, FY13",SMI by Fee Outpatient Services,Encounters,Fee Outpatient Services,1 encounter,Mood.Anxiety,43117
Serious Mental Illness,B. VHA Outpatient Utilization,"B6. Distribution of SMI among FY13 Veteran VHA Patients by Fee Outpatient Visits, FY13",SMI by Fee Outpatient Services,Encounters,Fee Outpatient Services,2 encounters,Mood.Anxiety,39451
Serious Mental Illness,B. VHA Outpatient Utilization,"B6. Distribution of SMI among FY13 Veteran VHA Patients by Fee Outpatient Visits, FY13",SMI by Fee Outpatient Services,Encounters,Fee Outpatient Services,3-5 encounters,Mood.Anxiety,51363
Serious Mental Illness,B. VHA Outpatient Utilization,"B6. Distribution of SMI among FY13 Veteran VHA Patients by Fee Outpatient Visits, FY13",SMI by Fee Outpatient Services,Encounters,Fee Outpatient Services,6-11 encounters,Mood.Anxiety,41910
Serious Mental Illness,B. VHA Outpatient Utilization,"B6. Distribution of SMI among FY13 Veteran VHA Patients by Fee Outpatient Visits, FY13",SMI by Fee Outpatient Services,Encounters,Fee Outpatient Services,12+ encounters,Mood.Anxiety,110234
Serious Mental Illness,C. Diagnoses,"C1. Distribution of SMI among FY13 Veteran VHA Patients by Domain, FY13",SMI by Domains,Domains,,INFECTIOUS DISEASE,Mood.Anxiety,335833
Serious Mental Illness,C. Diagnoses,"C1. Distribution of SMI among FY13 Veteran VHA Patients by Domain, FY13",SMI by Domains,Domains,,ENDOCRINE/METABOLIC/NUTRITIONAL,Mood.Anxiety,788913
Serious Mental Illness,C. Diagnoses,"C1. Distribution of SMI among FY13 Veteran VHA Patients by Domain, FY13",SMI by Domains,Domains,,CARDIOVASCULAR,Mood.Anxiety,723932
Serious Mental Illness,C. Diagnoses,"C1. Distribution of SMI among FY13 Veteran VHA Patients by Domain, FY13",SMI by Domains,Domains,,RESPIRATORY,Mood.Anxiety,415428
Serious Mental Illness,C. Diagnoses,"C1. Distribution of SMI among FY13 Veteran VHA Patients by Domain, FY13",SMI by Domains,Domains,,GASTROINTESTINAL,Mood.Anxiety,521165
Serious Mental Illness,C. Diagnoses,"C1. Distribution of SMI among FY13 Veteran VHA Patients by Domain, FY13",SMI by Domains,Domains,,URINARY,Mood.Anxiety,217342
Serious Mental Illness,C. Diagnoses,"C1. Distribution of SMI among FY13 Veteran VHA Patients by Domain, FY13",SMI by Domains,Domains,,REPRODUCTIVE HEALTH,Mood.Anxiety,327076
Serious Mental Illness,C. Diagnoses,"C1. Distribution of SMI among FY13 Veteran VHA Patients by Domain, FY13",SMI by Domains,Domains,,BREAST,Mood.Anxiety,14757
Serious Mental Illness,C. Diagnoses,"C1. Distribution of SMI among FY13 Veteran VHA Patients by Domain, FY13",SMI by Domains,Domains,,CANCER,Mood.Anxiety,111069
Serious Mental Illness,C. Diagnoses,"C1. Distribution of SMI among FY13 Veteran VHA Patients by Domain, FY13",SMI by Domains,Domains,,HEMATOLOGIC/IMMUNOLOGIC,Mood.Anxiety,141765
Serious Mental Illness,C. Diagnoses,"C1. Distribution of SMI among FY13 Veteran VHA Patients by Domain, FY13",SMI by Domains,Domains,,MUSCULOSKELETAL,Mood.Anxiety,752170
Serious Mental Illness,C. Diagnoses,"C1. Distribution of SMI among FY13 Veteran VHA Patients by Domain, FY13",SMI by Domains,Domains,,NEUROLOGIC,Mood.Anxiety,424575
Serious Mental Illness,C. Diagnoses,"C1. Distribution of SMI among FY13 Veteran VHA Patients by Domain, FY13",SMI by Domains,Domains,,MENTAL HEALTH/SUD,Mood.Anxiety,1149541
Serious Mental Illness,C. Diagnoses,"C1. Distribution of SMI among FY13 Veteran VHA Patients by Domain, FY13",SMI by Domains,Domains,,SENSE ORGAN,Mood.Anxiety,532703
Serious Mental Illness,C. Diagnoses,"C1. Distribution of SMI among FY13 Veteran VHA Patients by Domain, FY13",SMI by Domains,Domains,,DENTAL,Mood.Anxiety,158360
Serious Mental Illness,C. Diagnoses,"C1. Distribution of SMI among FY13 Veteran VHA Patients by Domain, FY13",SMI by Domains,Domains,,DERMATOLOGIC,Mood.Anxiety,308136
Serious Mental Illness,C. Diagnoses,"C1. Distribution of SMI among FY13 Veteran VHA Patients by Domain, FY13",SMI by Domains,Domains,,OTHER,Mood.Anxiety,775809
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,INFECTIOUS DISEASE,HIV/AIDS,Mood.Anxiety,7898
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,INFECTIOUS DISEASE,Tuberculosis,Mood.Anxiety,2005
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,INFECTIOUS DISEASE,Mycoses,Mood.Anxiety,87521
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,INFECTIOUS DISEASE,Infections - Other,Mood.Anxiety,57716
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,ENDOCRINE/METABOLIC/NUTRITIONAL,Diabetes Mellitus,Mood.Anxiety,280254
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,ENDOCRINE/METABOLIC/NUTRITIONAL,Lipid Disorders,Mood.Anxiety,569944
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,ENDOCRINE/METABOLIC/NUTRITIONAL,Overweight/Obesity,Mood.Anxiety,233864
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,ENDOCRINE/METABOLIC/NUTRITIONAL,Thyroid Disorders,Mood.Anxiety,92720
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,ENDOCRINE/METABOLIC/NUTRITIONAL,Osteoporosis,Mood.Anxiety,15845
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,ENDOCRINE/METABOLIC/NUTRITIONAL,Vitamin D Deficiency,Mood.Anxiety,68615
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,ENDOCRINE/METABOLIC/NUTRITIONAL,"Endocrine, Metabolic and Nutritional Disorders - Other",Mood.Anxiety,169815
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,ENDOCRINE/METABOLIC/NUTRITIONAL,Fluid and Electrolyte Disorders,Mood.Anxiety,63901
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,CARDIOVASCULAR,Hypertension,Mood.Anxiety,607142
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,CARDIOVASCULAR,Chest Pain/Angina,Mood.Anxiety,94524
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,CARDIOVASCULAR,Acute MI,Mood.Anxiety,9346
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,CARDIOVASCULAR,Coronary Artery Disease,Mood.Anxiety,181301
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,CARDIOVASCULAR,Heart Failure,Mood.Anxiety,63682
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,CARDIOVASCULAR,Valvular Disease,Mood.Anxiety,31620
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,CARDIOVASCULAR,Atrial Fibrillation/Flutter,Mood.Anxiety,53811
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,CARDIOVASCULAR,Arrhythmia/Conduction Disorder - Other,Mood.Anxiety,76553
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,CARDIOVASCULAR,Cardiac Conditions - Other,Mood.Anxiety,19507
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,CARDIOVASCULAR,Cerebrovascular Accident/TIA,Mood.Anxiety,53935
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,CARDIOVASCULAR,Cerebrovascular Disease - Other,Mood.Anxiety,32682
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,CARDIOVASCULAR,Pecondition Aortic Aneurysm,Mood.Anxiety,15094
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,CARDIOVASCULAR,Pulmonary Embolism or Deep Vein Thrombosis,Mood.Anxiety,22089
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,CARDIOVASCULAR,Vascular Disease - Other,Mood.Anxiety,73011
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,CARDIOVASCULAR,Circulatory System Conditions - Other,Mood.Anxiety,56951
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,RESPIRATORY,Chronic Obstructive Pulmonary Disease,Mood.Anxiety,136038
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,RESPIRATORY,Asthma,Mood.Anxiety,53426
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,RESPIRATORY,Sarcoidosis,Mood.Anxiety,2991
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,RESPIRATORY,Pneumonia,Mood.Anxiety,27771
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,RESPIRATORY,Respiratory System Infections - Other,Mood.Anxiety,115898
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,RESPIRATORY,Allergic and other chronic sinusitis/rhinitis,Mood.Anxiety,124930
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,RESPIRATORY,"Dyspnea, cough and other respiratory symptoms",Mood.Anxiety,111430
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,RESPIRATORY,Respiratory Conditions - Other,Mood.Anxiety,82083
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,GASTROINTESTINAL,Esophageal disorders,Mood.Anxiety,285708
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,GASTROINTESTINAL,Nausea and vomiting,Mood.Anxiety,26184
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,GASTROINTESTINAL,Gastroduodenal ulcer,Mood.Anxiety,13903
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,GASTROINTESTINAL,Gastric/Duodenal Disorders - Other,Mood.Anxiety,36398
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,GASTROINTESTINAL,Gastrointestinal hemorrhage,Mood.Anxiety,30730
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,GASTROINTESTINAL,"Polyp, colorectal",Mood.Anxiety,76992
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,GASTROINTESTINAL,Diverticulosis and diverticulitis,Mood.Anxiety,36014
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,GASTROINTESTINAL,Inflammatory Bowel Disease,Mood.Anxiety,8554
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,GASTROINTESTINAL,Diarrhea/constipation and functional bowel disorders,Mood.Anxiety,89776
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,GASTROINTESTINAL,Hernia,Mood.Anxiety,39654
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,GASTROINTESTINAL,Hemorrhoids,Mood.Anxiety,38303
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,GASTROINTESTINAL,Hepatitis C,Mood.Anxiety,47418
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,GASTROINTESTINAL,Liver disease - Other,Mood.Anxiety,57786
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,GASTROINTESTINAL,Biliary tract disease,Mood.Anxiety,12780
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,GASTROINTESTINAL,Pancreatic disorders,Mood.Anxiety,9966
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,GASTROINTESTINAL,Gastrointestinal System Disorders - Other,Mood.Anxiety,82967
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,URINARY,Renal failure or Nephropathy,Mood.Anxiety,81608
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,URINARY,Calculus of urinary tract,Mood.Anxiety,24962
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,URINARY,Hematuria,Mood.Anxiety,25887
